Nation,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937
1 Argentina,,,,,,,,,X,X,X,,,,,,,,
2 Australia,,,,,,,X,X,X,X,X,,,,,,,,
3 Austria,,,,,X,X,X,X,X,X,X,X,X,,,,,,
4 Belgium,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,
5 Bolivia,,,,,,,,,,X,X,X,X,,,,,,
6 Brazil,,,,,,,,,X,X,X,X,,,,,,,
7 Bulgaria,,,,,,,,,X,X,X,X,X,,,,,,
8 Canada,,,,,,,,X,X,X,X,X,X,,,,,,
9 Chile,,,,,,,,X,X,X,X,X,X,X,,,,,
10 China,,,,,,,,,,,,,,,,,,,
11 Columbia,,,,,X,X,X,X,X,X,X,X,X,,,,,,
12 Costa Rica,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,
13 Cuba,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,
14 Czechoslovakia,,,,,,,,X,X,X,X,X,X,,,,,,
15 Denmark,,,,,,,,,X,X,X,X,X,,,,,,
16 Equador,,,,,,X,X,X,X,X,X,,,,,,,,
17 Egypt,,,,X,X,X,X,X,X,X,,,,,,,,,
18 Estonia,,,,,,,X,X,X,X,,,,,,,,,
19 Finland,,,,,X,X,X,X,X,X,,,,,,,,,
20 France,,,,,,,X,X,X,X,X,X,X,X,X,,,,
21 Germany,,,X,X,X,X,X,X,X,X,,,,,,,,,
22 Greece,,,,,,,X,X,X,X,,,,,,,,,
23 Guatemala,,,X,X,X,X,X,X,X,X,X,X,,,,,,,
24 Honduras¹,S,S,S,S,S,S,S,S,S,S,X,X,X,X,,,,,
25 Hungary,,,,X,X,X,X,X,X,X,,,,,,,,,
26 India,,,,,,X,X,X,X,X,,,,,,,,,
27 Italy,,,,,,X,X,X,X,X,X,X,X,X,X,,,,
28 Japan,,,,,,,,,X,X,,,,,,,,,
29 Lithuania,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,
30 Mexico,,,,X,X,X,X,X,X,X,,,,,,,,,
31 Netherlands,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,
32 Netherlands East Indies,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,
33 New Zealand,,,,,,,X,X,X,X,X,,,,,,,,
34 Nicaragua,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,
35 Norway,,,,,,,,,,X,X,X,X,,,,,,
36 Panama,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Q,Q,Q
37 Peru,,,,,,,,,,,,,X,X,,,,,
38 Philippines,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Q,Q,Q
39 Poland,,,,,,,,,X,X,X,X,X,X,X,X,X,X,
40 Portugal,,,,,,,,,,,,,X,,,,,,
41 Romania,,,,,,,,,,,X,X,X,X,,,,,
42 Salvador,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,
43 Siam,,,,,,,,,,X,X,X,X,X,,,,,
44 Spain,,,,,,,,,,,,,,,,,,,
45 Sweden,,,,,,X,X,X,X,X,X,X,X,,,,,,
46 Switzerland,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,
47 Turkey,,,,,,,,,,,,,,,,,,,
48 Union of South Africa,,,,,,,X,X,X,X,X,X,X,X,,,,,
49 United Kingdom,,,,,,,X,X,X,X,X,X,X,,,,,,
50 United States,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Q,Q,Q
51 Uruguay,,,,,,,,,,X,X,X,X,,,,,,
52 U.S.S.R.,,,,,,,,,,,,,,,,,,,
53 Venezuela,,,,,,,,,X,X,X,X,,,,,,,
54 Yugoslavia,,,,,,,,,,,,X,,,,,,,
